x target saddleline studentone studenttwo
-2.0 -1.999999999999936 -2.1417519355003987 -2.0612849204801726 -2.0178156798682765
-1.95 -1.9999999999995832 -2.1391131385875144 -2.0745688819671826 -2.017815639077502
-1.9 -1.9999999999974403 -2.135919299951543 -2.0866861433059634 -2.0178155372936284
-1.85 -1.9999999999852154 -2.132072548276261 -2.097422906846947 -2.0178152898626687
-1.8 -1.99999999991968 -2.1274620325108686 -2.106556191240566 -2.017814703918542
-1.75 -1.9999999995895474 -2.1219630916405645 -2.113855142542895 -2.017813352309852
-1.7 -1.9999999980268246 -2.115436555206743 -2.11908253457571 -2.0178103156156073
-1.65 -1.9999999910756552 -2.107728218753613 -2.121996452884729 -2.0178036710656055
-1.6 -1.999999962020875 -2.098668541280944 -2.1223521534560517 -2.0177895131231067
-1.55 -1.9999998479007897 -2.088072613484224 -2.11990408408967 -2.017760139597449
-1.5 -1.9999994266968564 -2.0757404457677526 -2.1144080530503855 -2.0177008088227493
-1.45 -1.999997965833515 -2.061457623444393 -2.105623526386416 -2.017584151167658
-1.4 -1.9999932046537505 -2.044996372943857 -2.093316032174577 -2.0173609014526614
-1.35 -1.9999786229484502 -2.0261170770493924 -2.077259647000811 -2.01694514286572
-1.3 -1.9999366575163338 -2.0045702690532385 -2.057239537271531 -2.016191814431617
-1.25 -1.9998231654295986 -1.980099125237872 -2.0330545255429167 -2.0148640188266955
-1.2 -1.999534741841929 -1.952442462332985 -2.00451965001726 -2.0125879678082774
-1.15 -1.9988459499152182 -1.9213382317661678 -1.9714686837428732 -2.0087946060168735
-1.1 -1.9973002039367387 -1.886527485942695 -1.9337565789254352 -2.0026494785815507
-1.05 -1.9940404735298816 -1.8477587739075017 -1.8912618011450701 -1.9929765661038303
-1.0 -1.987580669348384 -1.8047929051313725 -1.8438885182434652 -1.9781875966044733
-0.95 -1.9755510546894939 -1.7574080015008309 -1.791568609177119 -1.9562351780732237
-0.9 -1.954499736101082 -1.7054047396392205 -1.7342634593093407 -1.9246146016331394
-0.85 -1.9198816862575814 -1.648611669262443 -1.6719655103510445 -1.8804431096796288
-0.8 -1.866385597381964 -1.5868904792142209 -1.6046995355586422 -1.8206439528919915
-0.75 -1.7887004522558372 -1.5201410719493298 -1.5325236137283702 -1.7422528508442392
-0.7 -1.6826894901639111 -1.4483063002912766 -1.455529779034457 -1.6428447715471302
-0.65 -1.5467452863219187 -1.3713762179267104 -1.3738443277655727 -1.5210498174512677
-0.6 -1.3829248845689013 -1.2893916978041977 -1.2876277674557859 -1.3770923595053064
-0.55 -1.197412499266637 -1.2024472806820363 -1.1970743987351906 -1.2132549486687694
-0.5 -0.9999994266968563 -1.1106931296005085 -1.1024115253506768 -1.0341482109840403
-0.45 -0.8025853144676673 -1.0143359848793236 -1.003898293131184 -0.8466704930284468
-0.4 -0.6170682821057243 -0.9136390379518552 -0.901824164134207 -0.6595739424148307
-0.35 -0.4532333277021864 -0.8089206702891149 -0.7965070376668062 -0.4826176979053152
-0.3 -0.31724716537924724 -0.7005520349551235 -0.6882910352697607 -0.3253754180210532
-0.25 -0.21112271276330885 -0.5889534918919132 -0.5775439719518777 -0.19585580509094608
-0.2 -0.13314914437964498 -0.47458994262450055 -0.4646545408851714 -0.0991674869081342
-0.15 -0.07896426364285258 -0.35796514437324645 -0.3500292433111662 -0.036490256701364236
-0.1 -0.04280046783309821 -0.2396151161959274 -0.23408909948964612 -0.004587603693247166
-0.05 -0.01848941883998023 -0.12010077941738552 -0.11726618004754907 0.003990954451086069
0.0 0.0 0.0 0.0 0.0
0.05 0.01848941883998023 0.12010077941738552 0.11726618004754907 -0.003990954451086069
0.1 0.04280046783309821 0.2396151161959274 0.23408909948964612 0.004587603693247166
0.15 0.07896426364285258 0.35796514437324645 0.3500292433111662 0.036490256701364236
0.2 0.13314914437964498 0.47458994262450055 0.4646545408851714 0.0991674869081342
0.25 0.21112271276330885 0.5889534918919132 0.5775439719518777 0.19585580509094608
0.3 0.31724716537924724 0.7005520349551235 0.6882910352697607 0.3253754180210532
0.35 0.4532333277021864 0.8089206702891149 0.7965070376668062 0.4826176979053152
0.4 0.6170682821057243 0.9136390379518552 0.901824164134207 0.6595739424148307
0.45 0.8025853144676673 1.0143359848793236 1.003898293131184 0.8466704930284468
0.5 0.9999994266968563 1.1106931296005085 1.1024115253506768 1.0341482109840403
0.55 1.197412499266637 1.2024472806820363 1.1970743987351906 1.2132549486687694
0.6 1.3829248845689013 1.2893916978041977 1.2876277674557859 1.3770923595053064
0.65 1.5467452863219187 1.3713762179267104 1.3738443277655727 1.5210498174512677
0.7 1.6826894901639111 1.4483063002912766 1.455529779034457 1.6428447715471302
0.75 1.7887004522558372 1.5201410719493298 1.5325236137283702 1.7422528508442392
0.8 1.866385597381964 1.5868904792142209 1.6046995355586422 1.8206439528919915
0.85 1.9198816862575814 1.648611669262443 1.6719655103510445 1.8804431096796288
0.9 1.954499736101082 1.7054047396392205 1.7342634593093407 1.9246146016331394
0.95 1.9755510546894939 1.7574080015008309 1.791568609177119 1.9562351780732237
1.0 1.987580669348384 1.8047929051313725 1.8438885182434652 1.9781875966044733
1.05 1.9940404735298816 1.8477587739075017 1.8912618011450701 1.9929765661038303
1.1 1.9973002039367387 1.886527485942695 1.9337565789254352 2.0026494785815507
1.15 1.9988459499152182 1.9213382317661678 1.9714686837428732 2.0087946060168735
1.2 1.999534741841929 1.952442462332985 2.00451965001726 2.0125879678082774
1.25 1.9998231654295986 1.980099125237872 2.0330545255429167 2.0148640188266955
1.3 1.9999366575163338 2.0045702690532385 2.057239537271531 2.016191814431617
1.35 1.9999786229484502 2.0261170770493924 2.077259647000811 2.01694514286572
1.4 1.9999932046537505 2.044996372943857 2.093316032174577 2.0173609014526614
1.45 1.999997965833515 2.061457623444393 2.105623526386416 2.017584151167658
1.5 1.9999994266968564 2.0757404457677526 2.1144080530503855 2.0177008088227493
1.55 1.9999998479007897 2.088072613484224 2.11990408408967 2.017760139597449
1.6 1.999999962020875 2.098668541280944 2.1223521534560517 2.0177895131231067
1.65 1.9999999910756552 2.107728218753613 2.121996452884729 2.0178036710656055
1.7 1.9999999980268246 2.115436555206743 2.11908253457571 2.0178103156156073
1.75 1.9999999995895474 2.1219630916405645 2.113855142542895 2.017813352309852
1.8 1.99999999991968 2.1274620325108686 2.106556191240566 2.017814703918542
1.85 1.9999999999852154 2.132072548276261 2.097422906846947 2.0178152898626687
1.9 1.9999999999974403 2.135919299951543 2.0866861433059634 2.0178155372936284
1.95 1.9999999999995832 2.1391131385875144 2.0745688819671826 2.017815639077502
2.0 1.999999999999936 2.1417519355003987 2.0612849204801726 2.0178156798682765
